Range;class;model;precision;recall;f1_score;roc_auc;accuracy;номер комбинации;RSI__h_bound;RSI__period;SMA__ma_long;SMA__ma_longest;SMA__ma_short;EMA__ema_long;EMA__ema_longest;EMA__ema_short;RSIEMA__h_bound;RSIEMA__period;ROC__roc_high;ROC__roc_low;MOM__mom_high;MOM__mom_low;STOCH__stoch_d;STOCH__stoch_k;STOCH__stoch_period;SHIFT1__num_shifts;SHIFT2__num_shifts;CORRELATION_REMOVER__threshold;DEPENDENCIES_REMOVER__correlation_threshold;DATAPREPROCESSOR__apply_balancing;DATAPREPROCESSOR__apply_scaling;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
0,05;0;RandomForestClassifier;0.3843626806833114;0.21722985518009655;0.2775800711743772;0.4751375974593458;0.5916588440391578;111;70;21;21;200;13;34;134;13;70;13;21;9;21;5;3;5;3;13;3;0.03;0.5;FALSE;FALSE;100;2;2;log2;10
0,05;1;RandomForestClassifier;0.6448188711036226;0.8033165407220823;0.7153939620525283;0.5248624025406541;0.5916588440391578;111;70;21;21;200;13;34;134;13;70;13;21;9;21;5;3;5;3;13;3;0.03;0.5;FALSE;FALSE;100;2;2;log2;10
0,05;0;RandomForestClassifier;0.3730636833046472;0.32194578536947643;0.3456248754235599;0.48997373387421383;0.5597425238031379;112;70;13;21;200;5;34;134;13;70;8;14;5;14;5;5;13;3;5;3;0.03;0.3;FALSE;FALSE;200;10;2;log2;10
0,05;1;RandomForestClassifier;0.6442626144554842;0.6941645675902602;0.6682833181772254;0.5100262661257862;0.5597425238031379;112;70;13;21;200;5;34;134;13;70;8;14;5;14;5;5;13;3;5;3;0.03;0.3;FALSE;FALSE;200;10;2;log2;10
0,05;0;RandomForestClassifier;0.4482758620689655;0.024136650575566285;0.04580690627202255;0.4225980189956672;0.636851280675875;113;70;13;21;200;5;21;134;13;80;8;14;5;14;5;3;8;5;13;1;0.01;0.8;FALSE;TRUE;100;2;4;sqrt;10
0,05;1;RandomForestClassifier;0.6405908096280087;0.9832073887489504;0.7757535607817158;0.5774019810043328;0.636851280675875;113;70;13;21;200;5;21;134;13;80;8;14;5;14;5;3;8;5;13;1;0.01;0.8;FALSE;TRUE;100;2;4;sqrt;10
0,05;0;RandomForestClassifier;0.3806228373702422;0.16338655774229485;0.2286308131982333;0.48201934112228645;0.6018506101649457;114;70;13;21;200;8;21;200;5;80;21;21;9;21;5;3;13;5;5;1;0.01;0.5;FALSE;FALSE;100;5;2;sqrt;10
0,05;1;RandomForestClassifier;0.6424377083002698;0.8497061293031066;0.7316764572977859;0.5179806588777136;0.6018506101649457;114;70;13;21;200;8;21;200;5;80;21;21;9;21;5;3;13;5;5;1;0.01;0.5;FALSE;FALSE;100;5;2;sqrt;10
0,05;0;RandomForestClassifier;0.4147727272727273;0.027107315261789826;0.050888811432554894;0.4346085865553727;0.6348397478878905;115;70;13;21;200;13;34;200;13;80;21;14;5;14;14;5;8;5;8;1;0.03;0.8;FALSE;TRUE;100;2;2;log2;10
0,05;1;RandomForestClassifier;0.6401593187748935;0.9783795130142737;0.773931091739311;0.5653914134446273;0.6348397478878905;115;70;13;21;200;13;34;200;13;80;21;14;5;14;14;5;8;5;8;1;0.03;0.8;FALSE;TRUE;100;2;2;log2;10
0,05;0;RandomForestClassifier;0.35662759242560865;0.29372447085035275;0.3221339849317858;0.47371251710517337;0.553573823253319;116;70;21;34;200;13;34;134;13;80;21;21;5;14;14;3;13;3;13;3;0.03;0.3;FALSE;FALSE;100;2;4;log2;10
